has_adhd,has_dyslexia,has_autism,has_anxiety,attention_span,sleep_hours,daily_study_hrs,learning_style,peak_focus_time,study_env,user_category,struggle,current_level,prior_attempt,content_type,memory_load,difficulty,has_deadline,days_to_exam,pomodoro_short,pomodoro_standard,feynman,spaced_repetition,active_recall,mind_mapping,past_papers,time_blocking,interleaving,elaborative_interrogation,audio_notes,colour_coding,chunking,worked_examples,dual_coding,shadowing,comprehensible_input,spaced_rep_vocab,output_practice,grammar_in_context,immersion_sessions,timed_practice,topic_prioritisation,exam_technique,revision_sprints,consistency_system
0,0,0,0,45_plus,5.1,6.5,read_write,afternoon,library,cert_candidate,covering_all_content,not_applicable,recertifying,mixed,medium,4,1,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
0,0,0,0,20_45,7.7,5.4,kinesthetic,late_night,varies,uni_student,managing_time,not_applicable,not_applicable,calculation,high,4,1,7,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,20_45,6.4,2.8,read_write,afternoon,varies,cert_candidate,all_of_the_above,not_applicable,first_time,practical,medium,4,1,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
0,0,0,0,under_10,4.7,4.0,auditory,evening,quiet_home,uni_student,remembering,not_applicable,not_applicable,theory,medium,4,1,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,1,20_45,5.2,0.6,kinesthetic,morning,noisy_home,uni_student,dont_know_how_to_study,not_applicable,not_applicable,calculation,medium,1,1,60,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,45_plus,4.6,0.6,read_write,morning,varies,uni_student,understanding,not_applicable,not_applicable,practical,low,5,1,60,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,1,20_45,8.2,3.8,read_write,morning,cafe,cert_candidate,all_of_the_above,not_applicable,first_time,practical,high,4,1,60,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,45_plus,6.9,2.0,visual,morning,cafe,uni_student,remembering,not_applicable,not_applicable,mixed,medium,4,1,14,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,45_plus,5.8,6.7,read_write,afternoon,cafe,uni_student,managing_time,not_applicable,not_applicable,practical,low,4,1,7,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,0,1,under_10,6.3,4.3,auditory,morning,noisy_home,language_learner,language_anxiety,basic,not_applicable,practical,medium,1,1,7,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,1,0,1,20_45,8.5,3.7,auditory,afternoon,quiet_home,uni_student,understanding,not_applicable,not_applicable,theory,low,4,1,30,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,20_45,4.0,6.6,auditory,evening,varies,self_study,motivation,not_applicable,not_applicable,practical,high,4,1,30,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,10_20,6.2,7.4,visual,evening,cafe,uni_student,staying_focused,not_applicable,not_applicable,mixed,high,4,1,7,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
